policy_id,customer_id,agent_id,product_id,product_type,start_date,end_date,premium_amount,term_months,status
POL-0001,CUST-0067,AGT-0014,PROD-004,Life,2025-02-02,2028-01-18,30266.77,36,active
POL-0002,CUST-0166,AGT-0008,PROD-001,Motor,2026-01-18,2028-01-08,19252.61,24,active
POL-0003,CUST-0101,AGT-0018,PROD-003,Property,2024-12-10,2027-11-25,69985.69,36,active
POL-0004,CUST-0258,AGT-0006,PROD-003,Property,2026-01-17,2029-01-01,54937.84,36,active
POL-0005,CUST-0015,AGT-0003,PROD-002,Health,2025-12-01,2028-11-15,52126.5,36,active
POL-0006,CUST-0016,AGT-0016,PROD-001,Motor,2024-08-07,2027-07-23,32091.81,36,lapsed
POL-0007,CUST-0153,AGT-0015,PROD-003,Property,2024-08-06,2027-07-22,46391.41,36,lapsed
POL-0008,CUST-0248,AGT-0015,PROD-001,Motor,2024-06-19,2025-06-14,13848.98,12,renewed
POL-0009,CUST-0177,AGT-0013,PROD-002,Health,2025-06-11,2027-06-01,25629.12,24,active
POL-0010,CUST-0063,AGT-0009,PROD-002,Health,2025-05-11,2026-05-06,25955.79,12,renewed
POL-0011,CUST-0197,AGT-0020,PROD-004,Life,2025-09-14,2027-09-04,27744.93,24,active
POL-0012,CUST-0098,AGT-0006,PROD-004,Life,2025-09-13,2027-09-03,85078.23,24,active
POL-0013,CUST-0255,AGT-0001,PROD-004,Life,2024-12-14,2029-11-18,59900.78,60,active
POL-0014,CUST-0299,AGT-0012,PROD-001,Motor,2025-04-18,2030-03-23,43767.41,60,active
POL-0015,CUST-0147,AGT-0018,PROD-001,Motor,2026-04-04,2029-03-19,26311.09,36,lapsed
POL-0016,CUST-0188,AGT-0013,PROD-001,Motor,2026-02-04,2031-01-09,12955.59,60,active
POL-0017,CUST-0186,AGT-0018,PROD-003,Property,2026-04-09,2031-03-14,18325.25,60,active
POL-0018,CUST-0061,AGT-0005,PROD-003,Property,2026-03-11,2031-02-13,47776.61,60,active
POL-0019,CUST-0286,AGT-0012,PROD-001,Motor,2025-04-17,2028-04-01,37411.2,36,active
POL-0020,CUST-0020,AGT-0005,PROD-002,Health,2025-11-03,2030-10-08,35003.9,60,active
POL-0021,CUST-0168,AGT-0020,PROD-003,Property,2025-01-25,2029-12-30,24681.14,60,active
POL-0022,CUST-0173,AGT-0017,PROD-003,Property,2025-12-10,2030-11-14,79390.02,60,active
